Name,Infant Mortality,,
Location,TimeFrame,Data,Fips
Jamaica/St. Albans,2009,8.4,412
Lower East Side,2009,3.7,103
Midtown Business District,2009,4.9,105
Morrisania,2009,7,203
Mott Haven,2009,7.6,201
Murray Hill/Stuyvesant,2009,2.8,106
Park Slope,2009,4.7,306
Pelham Parkway,2009,7.1,211
Queens Village,2009,6.7,413
Rego Park/Forest Hills,2009,2.1,406
Ridgewood/Glendale,2009,3.2,405
Riverdale,2009,5.3,208
Sheepshead Bay,2009,4.3,315
South Beach,2009,1.8,502
St. George,2009,5,501
Sunnyside/Woodside,2009,3.3,402
Sunset Park,2009,2.6,307
The Rockaways,2009,6.2,414
Throgs Neck,2009,5.7,210
Tottenville,2009,2.6,503
Unionport/Soundview,2009,5,209
University Heights,2009,6.4,205
Upper East Side,2009,2.5,108
Upper West Side,2009,2.5,107
Washington Heights,2009,3.5,112
Williamsbridge,2009,7.2,212
Williamsburg/Greenpoint,2009,3,301
Woodhaven,2009,4.3,409
Astoria,2010,5.3,401
Battery Park/Tribeca,2010,1.4,101
Bay Ridge,2010,4,310
Bayside,2010,2.5,411
Bedford Park,2010,5.5,207
Bedford Stuyvesant,2010,8.5,303
Bensonhurst,2010,3.7,311
Borough Park,2010,2.7,312
Brownsville,2010,9.9,316
Bushwick,2010,5,304
Canarsie,2010,5.3,318
Central Harlem,2010,7.5,110
Chelsea/Clinton,2010,3.2,104
Concourse/Highbridge,2010,5.7,204
Coney Island,2010,4.9,313
Crown Heights North,2010,5.8,308
Crown Heights South,2010,5.1,309
East Flatbush,2010,6.4,317
East Harlem,2010,6.6,111
East New York,2010,8.7,305
East Tremont,2010,7.4,206
Elmhurst/Corona,2010,3.7,404
Flatbush/Midwood,2010,4.3,314
Flushing,2010,2.8,407
Fort Greene/Brooklyn Hts,2010,4.8,302
Fresh Meadows/Briarwood,2010,6.1,408
Greenwich Village,2010,3.1,102
Howard Beach,2010,4.8,410
Hunts Point,2010,6.4,202
Jackson Heights,2010,3.6,403
Jamaica/St. Albans,2010,7.3,412
Lower East Side,2010,4.4,103
Midtown Business District,2010,5.3,105
Morrisania,2010,7.8,203
Mott Haven,2010,7.1,201
Murray Hill/Stuyvesant,2010,3.1,106
Park Slope,2010,3.3,306
Pelham Parkway,2010,6.3,211
Queens Village,2010,5.9,413
Rego Park/Forest Hills,2010,2.1,406
Ridgewood/Glendale,2010,3,405
Riverdale,2010,5.2,208
Sheepshead Bay,2010,3.1,315
South Beach,2010,3,502
St. George,2010,5.9,501
Sunnyside/Woodside,2010,2.8,402
Sunset Park,2010,3.1,307
The Rockaways,2010,7.5,414
Throgs Neck,2010,4.9,210
Tottenville,2010,3.1,503
Unionport/Soundview,2010,4.9,209
University Heights,2010,7.5,205
Upper East Side,2010,2.7,108
Upper West Side,2010,2,107
Washington Heights,2010,4.7,112
Williamsbridge,2010,7,212
Williamsburg/Greenpoint,2010,2.5,301
Woodhaven,2010,4.1,409
Astoria,2011,4.3,401
Battery Park/Tribeca,2011,1.6,101
Bay Ridge,2011,4,310
Bayside,2011,3,411
Bedford Park,2011,4.6,207
Bedford Stuyvesant,2011,7,303
Bensonhurst,2011,4.2,311
Borough Park,2011,2.8,312
Brownsville,2011,9.2,316
Bushwick,2011,4.4,304
Canarsie,2011,4.8,318
Central Harlem,2011,8.5,110
Chelsea/Clinton,2011,3.3,104
Concourse/Highbridge,2011,4.8,204
Coney Island,2011,5.6,313
Crown Heights North,2011,4.2,308
Crown Heights South,2011,4.4,309
East Flatbush,2011,6.8,317
East Harlem,2011,6.9,111
East New York,2011,8.4,305
East Tremont,2011,6.6,206
Elmhurst/Corona,2011,4.1,404
Flatbush/Midwood,2011,3.8,314
Flushing,2011,2.7,407
Fort Greene/Brooklyn Hts,2011,3.5,302
Fresh Meadows/Briarwood,2011,5.1,408
Greenwich Village,2011,2.4,102
Howard Beach,2011,4.9,410
Hunts Point,2011,7.6,202
Jackson Heights,2011,3.2,403
Jamaica/St. Albans,2011,8.4,412
Lower East Side,2011,3.4,103
Midtown Business District,2011,4,105
Morrisania,2011,7.7,203
