Name,Child Abuse and Neglect Investigations,,
Location,TimeFrame,Data,Fips
Bedford Park,2010,1500,207
Bedford Park,2012,1342,207
Bedford Park,2011,1498,207
Bedford Park,2016,1457,207
Bedford Park,2015,1343,207
Bedford Park,2014,1413,207
Bedford Park,2013,1436,207
Bedford Park,2009,1753,207
Bedford Park,2008,1507,207
Bedford Park,2007,1476,207
Bedford Park,2006,1559,207
Bedford Park,2005,1182,207
Bedford Park,2004,1282,207
Bedford Park,2003,1365,207
Bedford Park,2002,1368,207
Riverdale,2002,426,208
Riverdale,2003,423,208
Riverdale,2004,418,208
Riverdale,2005,396,208
Riverdale,2006,531,208
Riverdale,2007,450,208
Riverdale,2008,489,208
Riverdale,2009,501,208
Riverdale,2013,417,208
Riverdale,2014,426,208
Riverdale,2015,455,208
Riverdale,2016,516,208
Riverdale,2011,435,208
Riverdale,2012,501,208
Riverdale,2010,466,208
Riverdale,2017,513,208
Riverdale,2018,550,208
Riverdale,2019,508,208
Unionport/Soundview,2019,1878,209
Unionport/Soundview,2018,1915,209
Unionport/Soundview,2017,1939,209
Unionport/Soundview,2010,2018,209
Unionport/Soundview,2012,1960,209
Unionport/Soundview,2011,2035,209
Unionport/Soundview,2016,1850,209
Unionport/Soundview,2015,1753,209
Unionport/Soundview,2014,1862,209
Unionport/Soundview,2013,1865,209
Unionport/Soundview,2009,2438,209
Unionport/Soundview,2008,2037,209
Unionport/Soundview,2007,1944,209
Unionport/Soundview,2006,2171,209
Unionport/Soundview,2005,1783,209
Unionport/Soundview,2004,1843,209
Unionport/Soundview,2003,1832,209
Unionport/Soundview,2002,1966,209
Throgs Neck,2002,573,210
Throgs Neck,2003,531,210
Throgs Neck,2004,536,210
Throgs Neck,2005,509,210
Throgs Neck,2006,626,210
Throgs Neck,2007,605,210
Throgs Neck,2008,628,210
Throgs Neck,2009,721,210
Throgs Neck,2013,584,210
Throgs Neck,2014,682,210
Throgs Neck,2015,703,210
Throgs Neck,2016,690,210
Throgs Neck,2011,694,210
Throgs Neck,2012,641,210
Throgs Neck,2010,700,210
Throgs Neck,2017,817,210
Throgs Neck,2018,787,210
Throgs Neck,2019,764,210
Pelham Parkway,2019,822,211
Pelham Parkway,2018,845,211
Pelham Parkway,2017,840,211
Pelham Parkway,2010,865,211
Pelham Parkway,2012,816,211
Pelham Parkway,2011,903,211
Pelham Parkway,2016,913,211
Pelham Parkway,2015,796,211
Pelham Parkway,2014,822,211
Pelham Parkway,2013,761,211
Pelham Parkway,2009,852,211
Pelham Parkway,2008,824,211
Pelham Parkway,2007,751,211
Pelham Parkway,2006,844,211
Pelham Parkway,2005,601,211
Pelham Parkway,2004,647,211
Pelham Parkway,2003,629,211
Pelham Parkway,2002,680,211
Williamsbridge,2002,1184,212
Williamsbridge,2003,1027,212
Williamsbridge,2004,1029,212
Williamsbridge,2005,1142,212
Williamsbridge,2006,1547,212
Williamsbridge,2007,1472,212
Williamsbridge,2008,1648,212
