"Name","Graduation Rate"
"Description","New York City public high school students who graduated as of June after four years&nbsp;or six years of instruction. Six-year graduation rate data represent graduation rates for the cohort entering 6 years prior to the current school year (e.g. the 2019 six-year graduation rate reflect data for the 2013 cohort).&nbsp;"
"Source Notes","New York City Department of Education, Graduation Results (School Years 2004-05 to 2018-19); retrieved from&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results"">https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results</a>&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a>"
"Notes","Data represent outcomes by graduation year. In order to comply with FERPA regulations on public reporting of education outcomes, breakdowns where the number of students in the cohort is 5 or less are suppressed and maps and tables display ""no data"" or ""0"". CCC used school-level<br />
results to aggregate data to the community-district level."

Location,Total,TimeFrame,DataFormat,Data,Fips
"Jamaica, Howard Beach, Rockaways",Within 4 years,2009,Percent,0.46031,SD27
"Jamaica, Forest Hills",Within 4 years,2009,Percent,0.71446,SD28
"Queens Village, Rosedale, Hollis",Within 4 years,2009,Percent,0.61348,SD29
Upper West Side,Within 4 years,2009,Percent,0.6519,SD3
"Long Island City, Astoria",Within 4 years,2009,Percent,0.54015,SD30
Staten Island,Within 4 years,2009,Percent,0.69898,SD31
Bushwick,Within 4 years,2009,Percent,0.48223,SD32
East Harlem,Within 4 years,2009,Percent,0.66667,SD4
Central Harlem,Within 4 years,2009,Percent,0.63431,SD5
Washington Heights,Within 4 years,2009,Percent,0.69663,SD6
Mott Haven,Within 4 years,2009,Percent,0.50758,SD7
"Hunts Point, Port Morris",Within 4 years,2009,Percent,0.41722,SD8
"East Tremont, Morris Heights",Within 4 years,2009,Percent,0.66764,SD9
Bronx,Within 6 years,2009,Percent,0.59835,36005
Brooklyn,Within 6 years,2009,Percent,0.65223,36047
Manhattan,Within 6 years,2009,Percent,0.69803,36061
Queens,Within 6 years,2009,Percent,0.70138,36081
Staten Island,Within 6 years,2009,Percent,0.74653,36085
New York City,Within 6 years,2009,Percent,0.65633,3651000
Lower East Side,Within 6 years,2009,Percent,0.73159,SD1
"Riverdale, Kingsbridge, Fordham",Within 6 years,2009,Percent,0.64055,SD10
"Eastchester, Baychester, Co-op City",Within 6 years,2009,Percent,0.61758,SD11
"Crotona Park, Morrisania, Melrose",Within 6 years,2009,Percent,0.56216,SD12
"Brooklyn Hts, Downtown Brooklyn",Within 6 years,2009,Percent,0.8393,SD13
"Williamsburg, Greenpoint",Within 6 years,2009,Percent,0.64585,SD14
"S. Brooklyn, Park Slope, Sunset Park",Within 6 years,2009,Percent,0.63167,SD15
Bedford Stuyvesant,Within 6 years,2009,Percent,0.49594,SD16
Crown Heights,Within 6 years,2009,Percent,0.71727,SD17
"East Flatbush, Canarsie",Within 6 years,2009,Percent,0.50084,SD18
East New York,Within 6 years,2009,Percent,0.50773,SD19
"Stuyvesant Town, Upper E. Side",Within 6 years,2009,Percent,0.70619,SD2
"Bay Ridge, Bensonhurst",Within 6 years,2009,Percent,0.67221,SD20
"Gravesend, Coney Island",Within 6 years,2009,Percent,0.66233,SD21
"Flatbush, Midwood, Sheepshead Bay",Within 6 years,2009,Percent,0.76646,SD22
"Brownsville, Ocean Hill",Within 6 years,2009,Percent,0.56195,SD23
"Sunnyside, Woodside, Jackson Hts",Within 6 years,2009,Percent,0.6709,SD24
"Flushing, Whitestone",Within 6 years,2009,Percent,0.67371,SD25
"Bayside, Douglaston, Little Neck",Within 6 years,2009,Percent,0.84336,SD26
"Jamaica, Howard Beach, Rockaways",Within 6 years,2009,Percent,0.56342,SD27
"Jamaica, Forest Hills",Within 6 years,2009,Percent,0.75905,SD28
"Queens Village, Rosedale, Hollis",Within 6 years,2009,Percent,0.63265,SD29
Upper West Side,Within 6 years,2009,Percent,0.70115,SD3
"Long Island City, Astoria",Within 6 years,2009,Percent,0.69098,SD30
Staten Island,Within 6 years,2009,Percent,0.75113,SD31
Bushwick,Within 6 years,2009,Percent,0.62073,SD32
East Harlem,Within 6 years,2009,Percent,0.7557,SD4
Central Harlem,Within 6 years,2009,Percent,0.68451,SD5
Washington Heights,Within 6 years,2009,Percent,0.73896,SD6
Mott Haven,Within 6 years,2009,Percent,0.64439,SD7
"Hunts Point, Port Morris",Within 6 years,2009,Percent,0.53391,SD8
"East Tremont, Morris Heights",Within 6 years,2009,Percent,0.62187,SD9
Battery Park/Tribeca,Within 4 years,2010,Percent,0.77778,101
Greenwich Village,Within 4 years,2010,Percent,0.46499,102
Lower East Side,Within 4 years,2010,Percent,0.68731,103
Chelsea/Clinton,Within 4 years,2010,Percent,0.64499,104
Midtown Business District,Within 4 years,2010,Percent,0.51247,105
Murray Hill/Stuyvesant,Within 4 years,2010,Percent,0.63305,106
Upper West Side,Within 4 years,2010,Percent,0.67958,107
Upper East Side,Within 4 years,2010,Percent,0.75897,108
Manhattanville,Within 4 years,2010,Percent,0.76782,109
Central Harlem,Within 4 years,2010,Percent,0.66755,110
East Harlem,Within 4 years,2010,Percent,0.68635,111
Washington Heights,Within 4 years,2010,Percent,0.68146,112
Mott Haven,Within 4 years,2010,Percent,0.56806,201
Hunts Point,Within 4 years,2010,Percent,0.48611,202
Morrisania,Within 4 years,2010,Percent,0.6056,203
Concourse/Highbridge,Within 4 years,2010,Percent,0.59939,204
University Heights,Within 4 years,2010,Percent,0.93548,205
East Tremont,Within 4 years,2010,Percent,0.49333,206
Bedford Park,Within 4 years,2010,Percent,0.70921,207
Riverdale,Within 4 years,2010,Percent,0.58956,208
Unionport/Soundview,Within 4 years,2010,Percent,0.4675,209
Throgs Neck,Within 4 years,2010,Percent,0.52293,210
Pelham Parkway,Within 4 years,2010,Percent,0.57479,211
Williamsbridge,Within 4 years,2010,Percent,0.67647,212
Williamsburg/Greenpoint,Within 4 years,2010,Percent,0.67408,301
Fort Greene/Brooklyn Hts,Within 4 years,2010,Percent,0.77597,302
Bedford Stuyvesant,Within 4 years,2010,Percent,0.46474,303
Bushwick,Within 4 years,2010,Percent,0.53553,304
East New York,Within 4 years,2010,Percent,0.5153,305
Park Slope,Within 4 years,2010,Percent,0.58226,306
Sunset Park,Within 4 years,2010,Percent,0.95833,307
Crown Heights North,Within 4 years,2010,Percent,0.56399,308
Crown Heights South,Within 4 years,2010,Percent,0.61272,309
Bay Ridge,Within 4 years,2010,Percent,0.682,310
Bensonhurst,Within 4 years,2010,Percent,0.64915,311
Borough Park,Within 4 years,2010,Percent,0.48033,312
Coney Island,Within 4 years,2010,Percent,0.54116,313
Flatbush/Midwood,Within 4 years,2010,Percent,0.79663,314
Sheepshead Bay,Within 4 years,2010,Percent,0.67953,315
Brownsville,Within 4 years,2010,Percent,0.41351,316
East Flatbush,Within 4 years,2010,Percent,0.43725,317
Canarsie,Within 4 years,2010,Percent,0.35618,318
Astoria,Within 4 years,2010,Percent,0.63972,401
Sunnyside/Woodside,Within 4 years,2010,Percent,0.71301,402
Jackson Heights,Within 4 years,2010,Percent,0.66595,403
Elmhurst/Corona,Within 4 years,2010,Percent,0.49569,404
Ridgewood/Glendale,Within 4 years,2010,Percent,0.54196,405
Rego Park/Forest Hills,Within 4 years,2010,Percent,0.84567,406
Flushing,Within 4 years,2010,Percent,0.53708,407
Fresh Meadows/Briarwood,Within 4 years,2010,Percent,0.68535,408
Woodhaven,Within 4 years,2010,Percent,0.58142,409
Howard Beach,Within 4 years,2010,Percent,0.56931,410
Bayside,Within 4 years,2010,Percent,0.7804,411
Jamaica/St. Albans,Within 4 years,2010,Percent,0.6989,412
Queens Village,Within 4 years,2010,Percent,0.66126,413
The Rockaways,Within 4 years,2010,Percent,0.54242,414
St. George,Within 4 years,2010,Percent,0.64086,501
South Beach,Within 4 years,2010,Percent,0.80442,502
Tottenville,Within 4 years,2010,Percent,0.82039,503
Bronx,Within 4 years,2010,Percent,0.54715,36005
Brooklyn,Within 4 years,2010,Percent,0.588,36047
Manhattan,Within 4 years,2010,Percent,0.6342,36061
Queens,Within 4 years,2010,Percent,0.63734,36081
Staten Island,Within 4 years,2010,Percent,0.72692,36085
New York City,Within 4 years,2010,Percent,0.60994,3651000
Lower East Side,Within 4 years,2010,Percent,0.60663,SD1
"Riverdale, Kingsbridge, Fordham",Within 4 years,2010,Percent,0.61031,SD10
"Eastchester, Baychester, Co-op City",Within 4 years,2010,Percent,0.58824,SD11
"Crotona Park, Morrisania, Melrose",Within 4 years,2010,Percent,0.49814,SD12
"Brooklyn Hts, Downtown Brooklyn",Within 4 years,2010,Percent,0.74042,SD13
"Williamsburg, Greenpoint",Within 4 years,2010,Percent,0.654,SD14
"S. Brooklyn, Park Slope, Sunset Park",Within 4 years,2010,Percent,0.5,SD15
Bedford Stuyvesant,Within 4 years,2010,Percent,0.4034,SD16
Crown Heights,Within 4 years,2010,Percent,0.58497,SD17
"East Flatbush, Canarsie",Within 4 years,2010,Percent,0.34953,SD18
East New York,Within 4 years,2010,Percent,0.48422,SD19
"Stuyvesant Town, Upper E. Side",Within 4 years,2010,Percent,0.64202,SD2
"Bay Ridge, Bensonhurst",Within 4 years,2010,Percent,0.60914,SD20
"Gravesend, Coney Island",Within 4 years,2010,Percent,0.60066,SD21
"Flatbush, Midwood, Sheepshead Bay",Within 4 years,2010,Percent,0.7304,SD22
"Brownsville, Ocean Hill",Within 4 years,2010,Percent,0.41022,SD23
"Sunnyside, Woodside, Jackson Hts",Within 4 years,2010,Percent,0.58455,SD24
"Flushing, Whitestone",Within 4 years,2010,Percent,0.58592,SD25
"Bayside, Douglaston, Little Neck",Within 4 years,2010,Percent,0.74808,SD26
"Jamaica, Howard Beach, Rockaways",Within 4 years,2010,Percent,0.5369,SD27
"Jamaica, Forest Hills",Within 4 years,2010,Percent,0.74014,SD28
"Queens Village, Rosedale, Hollis",Within 4 years,2010,Percent,0.60371,SD29
Upper West Side,Within 4 years,2010,Percent,0.65602,SD3
"Long Island City, Astoria",Within 4 years,2010,Percent,0.61912,SD30
Staten Island,Within 4 years,2010,Percent,0.73196,SD31
Bushwick,Within 4 years,2010,Percent,0.52697,SD32
East Harlem,Within 4 years,2010,Percent,0.71145,SD4
Central Harlem,Within 4 years,2010,Percent,0.61497,SD5
Washington Heights,Within 4 years,2010,Percent,0.66358,SD6
Mott Haven,Within 4 years,2010,Percent,0.51757,SD7
"Hunts Point, Port Morris",Within 4 years,2010,Percent,0.43678,SD8
"East Tremont, Morris Heights",Within 4 years,2010,Percent,0.61641,SD9
Bronx,Within 6 years,2010,Percent,0.64399,36005
Brooklyn,Within 6 years,2010,Percent,0.68183,36047
Manhattan,Within 6 years,2010,Percent,0.717,36061
Queens,Within 6 years,2010,Percent,0.71535,36081
Staten Island,Within 6 years,2010,Percent,0.75334,36085
New York City,Within 6 years,2010,Percent,0.69229,3651000
Lower East Side,Within 6 years,2010,Percent,0.73316,SD1
"Riverdale, Kingsbridge, Fordham",Within 6 years,2010,Percent,0.69625,SD10
"Eastchester, Baychester, Co-op City",Within 6 years,2010,Percent,0.68919,SD11
"Crotona Park, Morrisania, Melrose",Within 6 years,2010,Percent,0.5835,SD12
"Brooklyn Hts, Downtown Brooklyn",Within 6 years,2010,Percent,0.85489,SD13
"Williamsburg, Greenpoint",Within 6 years,2010,Percent,0.70935,SD14
"S. Brooklyn, Park Slope, Sunset Park",Within 6 years,2010,Percent,0.6425,SD15
Bedford Stuyvesant,Within 6 years,2010,Percent,0.53155,SD16
Crown Heights,Within 6 years,2010,Percent,0.74761,SD17
"East Flatbush, Canarsie",Within 6 years,2010,Percent,0.4798,SD18
East New York,Within 6 years,2010,Percent,0.56789,SD19
"Stuyvesant Town, Upper E. Side",Within 6 years,2010,Percent,0.72387,SD2
"Bay Ridge, Bensonhurst",Within 6 years,2010,Percent,0.70262,SD20
"Gravesend, Coney Island",Within 6 years,2010,Percent,0.68638,SD21
"Flatbush, Midwood, Sheepshead Bay",Within 6 years,2010,Percent,0.77747,SD22
"Brownsville, Ocean Hill",Within 6 years,2010,Percent,0.67123,SD23
"Sunnyside, Woodside, Jackson Hts",Within 6 years,2010,Percent,0.7089,SD24
"Flushing, Whitestone",Within 6 years,2010,Percent,0.71296,SD25
"Bayside, Douglaston, Little Neck",Within 6 years,2010,Percent,0.85449,SD26
"Jamaica, Howard Beach, Rockaways",Within 6 years,2010,Percent,0.58147,SD27
"Jamaica, Forest Hills",Within 6 years,2010,Percent,0.75095,SD28
