"Name","SNAP (Food Stamps)"
"Description","Recipients of SNAP by individuals and households.&nbsp;SNAP (Supplemental Nutrition Assistance Program) is a federal program that offers nutrition assistance to low-income individuals and families. It is commonly referred to as Food Stamps.&nbsp;"
"Source Notes","New York City Human Resources Administration,&nbsp;<em>District Resource Statement Fiscal and Service Reports</em>&nbsp;(for Fiscal Years: 2002 and 2003; 2005 and 2006;&nbsp;2006 and 2007;&nbsp;2007 and 2008;&nbsp;2009 and 2010; 2011 and 2012;&nbsp;2016 and 2017; 2017 and 2018) retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/hra/about/facts.page"" target=""_blank"">https://www1.nyc.gov/site/hra/about/facts.page</a>&nbsp;<br />
<br />
New York City Human Resources Administration,&nbsp;Borough/Community District Report - SNAP Population (2018-2019). Retrieved from NYC Open Data:&nbsp;<a href=""https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-SNAP-Population/jye8-w4d7"" target=""_blank"">https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-SNAP-Population/jye8-w4d7</a><br />"
"Notes","Figures represent data as of October for the given year, with the exception of 2018 and 2019 which represent data as of September.<br />
Percentages presented by Recipient refer to the percent of all individuals or <g class=""gr_ gr_7 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""7"" data-gr-id=""7""><g class=""gr_ gr_7 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""7"" data-gr-id=""7"">households,</g></g> and are calculated using U.S. Census Bureau counts and estimates. See <a href=""https://data.cccnewyork.org/data/map/97/total-population#97/a/3/147/62/a/a"" target=""_blank"">total population</a> and <a href=""https://data.cccnewyork.org/data/map/32/households-and-families#32/a/3/56/62/a/a"" target=""_blank"">household</a>&nbsp;indicators for estimates and complete citations.<br />
<em>
*CCC is in the process of filling in data for missing years.&nbsp;</em>"

Location,Recipient,TimeFrame,DataFormat,Data,Fips
Tottenville,Households,2006,Number,2630,503
Bronx,Households,2006,Number,147224,36005
Brooklyn,Households,2006,Number,216230,36047
Manhattan,Households,2006,Number,109694,36061
Queens,Households,2006,Number,96169,36081
Staten Island,Households,2006,Number,16645,36085
New York City,Households,2006,Number,585962,3651000
Battery Park/Tribeca,Households,2007,Number,1228,101
Greenwich Village,Households,2007,Number,2596,102
Lower East Side,Households,2007,Number,16040,103
Chelsea/Clinton,Households,2007,Number,8150,104
Midtown Business District,Households,2007,Number,2549,105
Murray Hill/Stuyvesant,Households,2007,Number,2301,106
Upper West Side,Households,2007,Number,8979,107
Upper East Side,Households,2007,Number,2584,108
Manhattanville,Households,2007,Number,11709,109
Central Harlem,Households,2007,Number,14184,110
East Harlem,Households,2007,Number,17176,111
Washington Heights,Households,2007,Number,25497,112
Mott Haven,Households,2007,Number,15921,201
Hunts Point,Households,2007,Number,8148,202
Morrisania,Households,2007,Number,12205,203
Concourse/Highbridge,Households,2007,Number,21997,204
University Heights,Households,2007,Number,20398,205
East Tremont,Households,2007,Number,12974,206
Bedford Park,Households,2007,Number,16649,207
Riverdale,Households,2007,Number,5601,208
Unionport/Soundview,Households,2007,Number,17021,209
Throgs Neck,Households,2007,Number,5372,210
Pelham Parkway,Households,2007,Number,7479,211
Williamsbridge,Households,2007,Number,10807,212
Williamsburg/Greenpoint,Households,2007,Number,15355,301
Fort Greene/Brooklyn Hts,Households,2007,Number,7031,302
Bedford Stuyvesant,Households,2007,Number,20863,303
Bushwick,Households,2007,Number,15879,304
East New York,Households,2007,Number,22455,305
Park Slope,Households,2007,Number,4908,306
Sunset Park,Households,2007,Number,9911,307
Crown Heights North,Households,2007,Number,10624,308
Crown Heights South,Households,2007,Number,8391,309
Bay Ridge,Households,2007,Number,5483,310
Bensonhurst,Households,2007,Number,13596,311
Borough Park,Households,2007,Number,13726,312
Coney Island,Households,2007,Number,15312,313
Flatbush/Midwood,Households,2007,Number,13813,314
