"Name","SNAP (Food Stamps)"
"Description","Recipients of SNAP by individuals and households.&nbsp;SNAP (Supplemental Nutrition Assistance Program) is a federal program that offers nutrition assistance to low-income individuals and families. It is commonly referred to as Food Stamps.&nbsp;"
"Source Notes","New York City Human Resources Administration,&nbsp;<em>District Resource Statement Fiscal and Service Reports</em>&nbsp;(for Fiscal Years: 2002 and 2003; 2005 and 2006;&nbsp;2006 and 2007;&nbsp;2007 and 2008;&nbsp;2009 and 2010; 2011 and 2012;&nbsp;2016 and 2017; 2017 and 2018) retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/hra/about/facts.page"" target=""_blank"">https://www1.nyc.gov/site/hra/about/facts.page</a>&nbsp;<br />
<br />
New York City Human Resources Administration,&nbsp;Borough/Community District Report - SNAP Population (2018-2019). Retrieved from NYC Open Data:&nbsp;<a href=""https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-SNAP-Population/jye8-w4d7"" target=""_blank"">https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-SNAP-Population/jye8-w4d7</a><br />"
"Notes","Figures represent data as of October for the given year, with the exception of 2018 and 2019 which represent data as of September.<br />
Percentages presented by Recipient refer to the percent of all individuals or <g class=""gr_ gr_7 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""7"" data-gr-id=""7""><g class=""gr_ gr_7 gr-alert gr_gramm gr_inline_cards gr_run_anim Punctuation only-del replaceWithoutSep"" id=""7"" data-gr-id=""7"">households,</g></g> and are calculated using U.S. Census Bureau counts and estimates. See <a href=""https://data.cccnewyork.org/data/map/97/total-population#97/a/3/147/62/a/a"" target=""_blank"">total population</a> and <a href=""https://data.cccnewyork.org/data/map/32/households-and-families#32/a/3/56/62/a/a"" target=""_blank"">household</a>&nbsp;indicators for estimates and complete citations.<br />
<em>
*CCC is in the process of filling in data for missing years.&nbsp;</em>"

Location,Recipient,TimeFrame,DataFormat,Data,Fips
Fresh Meadows/Briarwood,Individuals,2002,Percent,0.05333,408
Woodhaven,Individuals,2001,Percent,0.06087,409
Woodhaven,Individuals,2002,Percent,0.05935,409
Howard Beach,Individuals,2001,Percent,0.04156,410
Howard Beach,Individuals,2002,Percent,0.04123,410
Bayside,Individuals,2001,Percent,0.01391,411
Bayside,Individuals,2002,Percent,0.01453,411
Jamaica/St. Albans,Individuals,2001,Percent,0.07924,412
Jamaica/St. Albans,Individuals,2002,Percent,0.07879,412
Queens Village,Individuals,2001,Percent,0.03477,413
Queens Village,Individuals,2002,Percent,0.03496,413
The Rockaways,Individuals,2001,Percent,0.13175,414
The Rockaways,Individuals,2002,Percent,0.13469,414
St. George,Individuals,2001,Percent,0.06943,501
St. George,Individuals,2002,Percent,0.08789,501
South Beach,Individuals,2001,Percent,0.0251,502
South Beach,Individuals,2002,Percent,0.035,502
Tottenville,Individuals,2001,Percent,0.01253,503
Tottenville,Individuals,2002,Percent,0.01799,503
Bronx,Individuals,2001,Percent,0.15648,36005
Bronx,Individuals,2002,Percent,0.16391,36005
Brooklyn,Individuals,2001,Percent,0.13243,36047
Brooklyn,Individuals,2002,Percent,0.1347,36047
Manhattan,Individuals,2001,Percent,0.08672,36061
Manhattan,Individuals,2002,Percent,0.09041,36061
Queens,Individuals,2001,Percent,0.05543,36081
Queens,Individuals,2002,Percent,0.05609,36081
Staten Island,Individuals,2001,Percent,0.03695,36085
Staten Island,Individuals,2002,Percent,0.11604,36085
New York City,Individuals,2001,Percent,0.10093,3651000
New York City,Individuals,2002,Percent,0.1044,3651000
Battery Park/Tribeca,Individuals,2005,Percent,0.02792,101
Greenwich Village,Individuals,2005,Percent,0.04239,102
Lower East Side,Individuals,2005,Percent,0.1658,103
Chelsea/Clinton,Individuals,2005,Percent,0.11641,104
Midtown Business District,Individuals,2005,Percent,0.0568,105
Murray Hill/Stuyvesant,Individuals,2005,Percent,0.01859,106
Upper West Side,Individuals,2005,Percent,0.0601,107
Upper East Side,Individuals,2005,Percent,0.01496,108
Manhattanville,Individuals,2005,Percent,0.18709,109
Central Harlem,Individuals,2005,Percent,0.20817,110
East Harlem,Individuals,2005,Percent,0.27389,111
Washington Heights,Individuals,2005,Percent,0.20848,112
Mott Haven,Individuals,2005,Percent,0.3516,201
Hunts Point,Individuals,2005,Percent,0.31778,202
Morrisania,Individuals,2005,Percent,0.34977,203
Concourse/Highbridge,Individuals,2005,Percent,0.32161,204
University Heights,Individuals,2005,Percent,0.31181,205
East Tremont,Individuals,2005,Percent,0.34907,206
Bedford Park,Individuals,2005,Percent,0.23671,207
Riverdale,Individuals,2005,Percent,0.09767,208
Unionport/Soundview,Individuals,2005,Percent,0.18628,209
Throgs Neck,Individuals,2005,Percent,0.08279,210
Pelham Parkway,Individuals,2005,Percent,0.1044,211
Williamsbridge,Individuals,2005,Percent,0.1378,212
Williamsburg/Greenpoint,Individuals,2005,Percent,0.29748,301
Fort Greene/Brooklyn Hts,Individuals,2005,Percent,0.09754,302
Bedford Stuyvesant,Individuals,2005,Percent,0.28729,303
Bushwick,Individuals,2005,Percent,0.26443,304
East New York,Individuals,2005,Percent,0.29773,305
Park Slope,Individuals,2005,Percent,0.07892,306
Sunset Park,Individuals,2005,Percent,0.12753,307
Crown Heights North,Individuals,2005,Percent,0.15219,308
Crown Heights South,Individuals,2005,Percent,0.13822,309
Bay Ridge,Individuals,2005,Percent,0.07182,310
Bensonhurst,Individuals,2005,Percent,0.12005,311
Borough Park,Individuals,2005,Percent,0.24296,312
Coney Island,Individuals,2005,Percent,0.2187,313
Flatbush/Midwood,Individuals,2005,Percent,0.15852,314
Sheepshead Bay,Individuals,2005,Percent,0.12159,315
Brownsville,Individuals,2005,Percent,0.2329,316
East Flatbush,Individuals,2005,Percent,0.13255,317
Canarsie,Individuals,2005,Percent,0.07862,318
Astoria,Individuals,2005,Percent,0.07819,401
Sunnyside/Woodside,Individuals,2005,Percent,0.05053,402
Jackson Heights,Individuals,2005,Percent,0.08368,403
Elmhurst/Corona,Individuals,2005,Percent,0.10694,404
Ridgewood/Glendale,Individuals,2005,Percent,0.06707,405
Rego Park/Forest Hills,Individuals,2005,Percent,0.05987,406
Flushing,Individuals,2005,Percent,0.04962,407
Fresh Meadows/Briarwood,Individuals,2005,Percent,0.0625,408
Woodhaven,Individuals,2005,Percent,0.08185,409
Howard Beach,Individuals,2005,Percent,0.05309,410
Bayside,Individuals,2005,Percent,0.02143,411
Jamaica/St. Albans,Individuals,2005,Percent,0.10161,412
Queens Village,Individuals,2005,Percent,0.04789,413
The Rockaways,Individuals,2005,Percent,0.15115,414
St. George,Individuals,2005,Percent,0.11358,501
South Beach,Individuals,2005,Percent,0.04544,502
Tottenville,Individuals,2005,Percent,0.02474,503
Bronx,Individuals,2005,Percent,0.22374,36005
Brooklyn,Individuals,2005,Percent,0.17115,36047
Manhattan,Individuals,2005,Percent,0.11833,36061
Queens,Individuals,2005,Percent,0.07223,36081
Staten Island,Individuals,2005,Percent,0.06361,36085
New York City,Individuals,2005,Percent,0.13596,3651000
Battery Park/Tribeca,Individuals,2006,Percent,0.02261,101
Greenwich Village,Individuals,2006,Percent,0.03557,102
Lower East Side,Individuals,2006,Percent,0.13543,103
Chelsea/Clinton,Individuals,2006,Percent,0.11425,104
Midtown Business District,Individuals,2006,Percent,0.06181,105
Murray Hill/Stuyvesant,Individuals,2006,Percent,0.01906,106
Upper West Side,Individuals,2006,Percent,0.05516,107
Upper East Side,Individuals,2006,Percent,0.01499,108
Manhattanville,Individuals,2006,Percent,0.16641,109
Central Harlem,Individuals,2006,Percent,0.20104,110
East Harlem,Individuals,2006,Percent,0.21731,111
Washington Heights,Individuals,2006,Percent,0.20388,112
Mott Haven,Individuals,2006,Percent,0.33698,201
Hunts Point,Individuals,2006,Percent,0.30749,202
Morrisania,Individuals,2006,Percent,0.30775,203
Concourse/Highbridge,Individuals,2006,Percent,0.32041,204
University Heights,Individuals,2006,Percent,0.30413,205
East Tremont,Individuals,2006,Percent,0.318,206
Bedford Park,Individuals,2006,Percent,0.25334,207
Riverdale,Individuals,2006,Percent,0.08711,208
Unionport/Soundview,Individuals,2006,Percent,0.18148,209
Throgs Neck,Individuals,2006,Percent,0.07129,210
Pelham Parkway,Individuals,2006,Percent,0.10508,211
Williamsbridge,Individuals,2006,Percent,0.13656,212
Williamsburg/Greenpoint,Individuals,2006,Percent,0.2797,301
Fort Greene/Brooklyn Hts,Individuals,2006,Percent,0.09227,302
Bedford Stuyvesant,Individuals,2006,Percent,0.2945,303
Bushwick,Individuals,2006,Percent,0.25079,304
East New York,Individuals,2006,Percent,0.26999,305
Park Slope,Individuals,2006,Percent,0.07702,306
Sunset Park,Individuals,2006,Percent,0.11352,307
Crown Heights North,Individuals,2006,Percent,0.14903,308
Crown Heights South,Individuals,2006,Percent,0.13447,309
Bay Ridge,Individuals,2006,Percent,0.07475,310
Bensonhurst,Individuals,2006,Percent,0.1277,311
Borough Park,Individuals,2006,Percent,0.24494,312
Coney Island,Individuals,2006,Percent,0.2306,313
Flatbush/Midwood,Individuals,2006,Percent,0.15055,314
Sheepshead Bay,Individuals,2006,Percent,0.12602,315
Brownsville,Individuals,2006,Percent,0.22119,316
East Flatbush,Individuals,2006,Percent,0.12799,317
Canarsie,Individuals,2006,Percent,0.07387,318
Astoria,Individuals,2006,Percent,0.08162,401
Sunnyside/Woodside,Individuals,2006,Percent,0.05596,402
Jackson Heights,Individuals,2006,Percent,0.09003,403
Elmhurst/Corona,Individuals,2006,Percent,0.11351,404
Ridgewood/Glendale,Individuals,2006,Percent,0.06615,405
Rego Park/Forest Hills,Individuals,2006,Percent,0.06106,406
Flushing,Individuals,2006,Percent,0.05082,407
Fresh Meadows/Briarwood,Individuals,2006,Percent,0.05998,408
Woodhaven,Individuals,2006,Percent,0.08048,409
Howard Beach,Individuals,2006,Percent,0.05298,410
Bayside,Individuals,2006,Percent,0.02146,411
Jamaica/St. Albans,Individuals,2006,Percent,0.1024,412
Queens Village,Individuals,2006,Percent,0.04261,413
The Rockaways,Individuals,2006,Percent,0.14209,414
St. George,Individuals,2006,Percent,0.11886,501
South Beach,Individuals,2006,Percent,0.04917,502
Tottenville,Individuals,2006,Percent,0.02331,503
Bronx,Individuals,2006,Percent,0.21548,36005
Brooklyn,Individuals,2006,Percent,0.16689,36047
Manhattan,Individuals,2006,Percent,0.10917,36061
Queens,Individuals,2006,Percent,0.07212,36081
Staten Island,Individuals,2006,Percent,0.06433,36085
New York City,Individuals,2006,Percent,0.13164,3651000
Battery Park/Tribeca,Individuals,2007,Percent,0.02687,101
Greenwich Village,Individuals,2007,Percent,0.03915,102
Lower East Side,Individuals,2007,Percent,0.14822,103
Chelsea/Clinton,Individuals,2007,Percent,0.11488,104
Midtown Business District,Individuals,2007,Percent,0.06558,105
Murray Hill/Stuyvesant,Individuals,2007,Percent,0.01895,106
Upper West Side,Individuals,2007,Percent,0.05658,107
Upper East Side,Individuals,2007,Percent,0.01504,108
Manhattanville,Individuals,2007,Percent,0.15501,109
Central Harlem,Individuals,2007,Percent,0.19374,110
East Harlem,Individuals,2007,Percent,0.24486,111
Washington Heights,Individuals,2007,Percent,0.19445,112
Mott Haven,Individuals,2007,Percent,0.3263,201
Hunts Point,Individuals,2007,Percent,0.30315,202
Morrisania,Individuals,2007,Percent,0.32337,203
Concourse/Highbridge,Individuals,2007,Percent,0.31309,204
University Heights,Individuals,2007,Percent,0.31808,205
East Tremont,Individuals,2007,Percent,0.32671,206
Bedford Park,Individuals,2007,Percent,0.27187,207
Riverdale,Individuals,2007,Percent,0.09763,208
Unionport/Soundview,Individuals,2007,Percent,0.20215,209
Throgs Neck,Individuals,2007,Percent,0.07534,210
Pelham Parkway,Individuals,2007,Percent,0.10966,211
Williamsbridge,Individuals,2007,Percent,0.14423,212
Williamsburg/Greenpoint,Individuals,2007,Percent,0.26458,301
Fort Greene/Brooklyn Hts,Individuals,2007,Percent,0.08962,302
Bedford Stuyvesant,Individuals,2007,Percent,0.32182,303
Bushwick,Individuals,2007,Percent,0.23975,304
East New York,Individuals,2007,Percent,0.288,305
Park Slope,Individuals,2007,Percent,0.07689,306
Sunset Park,Individuals,2007,Percent,0.11903,307
Crown Heights North,Individuals,2007,Percent,0.15027,308
Crown Heights South,Individuals,2007,Percent,0.13516,309
Bay Ridge,Individuals,2007,Percent,0.07366,310
Bensonhurst,Individuals,2007,Percent,0.11823,311
Borough Park,Individuals,2007,Percent,0.21114,312
Coney Island,Individuals,2007,Percent,0.21453,313
Flatbush/Midwood,Individuals,2007,Percent,0.15229,314
Sheepshead Bay,Individuals,2007,Percent,0.13347,315
Brownsville,Individuals,2007,Percent,0.2261,316
East Flatbush,Individuals,2007,Percent,0.14934,317
Canarsie,Individuals,2007,Percent,0.07916,318
Astoria,Individuals,2007,Percent,0.08929,401
Sunnyside/Woodside,Individuals,2007,Percent,0.0535,402
Jackson Heights,Individuals,2007,Percent,0.08874,403
Elmhurst/Corona,Individuals,2007,Percent,0.11834,404
Ridgewood/Glendale,Individuals,2007,Percent,0.06561,405
Rego Park/Forest Hills,Individuals,2007,Percent,0.05779,406
Flushing,Individuals,2007,Percent,0.05461,407
Fresh Meadows/Briarwood,Individuals,2007,Percent,0.06086,408
Woodhaven,Individuals,2007,Percent,0.0825,409
Howard Beach,Individuals,2007,Percent,0.0527,410
Bayside,Individuals,2007,Percent,0.0213,411
Jamaica/St. Albans,Individuals,2007,Percent,0.11425,412
Queens Village,Individuals,2007,Percent,0.04899,413
The Rockaways,Individuals,2007,Percent,0.16128,414
St. George,Individuals,2007,Percent,0.12507,501
South Beach,Individuals,2007,Percent,0.05511,502
Tottenville,Individuals,2007,Percent,0.02915,503
Bronx,Individuals,2007,Percent,0.22223,36005
Brooklyn,Individuals,2007,Percent,0.16814,36047
Manhattan,Individuals,2007,Percent,0.11035,36061
Queens,Individuals,2007,Percent,0.07588,36081
Staten Island,Individuals,2007,Percent,0.0728,36085
New York City,Individuals,2007,Percent,0.13494,3651000
Battery Park/Tribeca,Individuals,2009,Percent,0.03633,101
Greenwich Village,Individuals,2009,Percent,0.05587,102
Lower East Side,Individuals,2009,Percent,0.23012,103
Chelsea/Clinton,Individuals,2009,Percent,0.17892,104
Midtown Business District,Individuals,2009,Percent,0.07672,105
Murray Hill/Stuyvesant,Individuals,2009,Percent,0.02639,106
Upper West Side,Individuals,2009,Percent,0.07889,107
Upper East Side,Individuals,2009,Percent,0.02151,108
Manhattanville,Individuals,2009,Percent,0.21055,109
Central Harlem,Individuals,2009,Percent,0.29133,110
East Harlem,Individuals,2009,Percent,0.38315,111
Washington Heights,Individuals,2009,Percent,0.29165,112
Mott Haven,Individuals,2009,Percent,0.40127,201
Hunts Point,Individuals,2009,Percent,0.35972,202
Morrisania,Individuals,2009,Percent,0.42883,203
Concourse/Highbridge,Individuals,2009,Percent,0.39216,204
University Heights,Individuals,2009,Percent,0.32452,205
East Tremont,Individuals,2009,Percent,0.42479,206
Bedford Park,Individuals,2009,Percent,0.32394,207
Riverdale,Individuals,2009,Percent,0.1305,208
Unionport/Soundview,Individuals,2009,Percent,0.2442,209
Throgs Neck,Individuals,2009,Percent,0.11215,210
Pelham Parkway,Individuals,2009,Percent,0.15177,211
Williamsbridge,Individuals,2009,Percent,0.20892,212
Williamsburg/Greenpoint,Individuals,2009,Percent,0.39402,301
Fort Greene/Brooklyn Hts,Individuals,2009,Percent,0.13065,302
Bedford Stuyvesant,Individuals,2009,Percent,0.42001,303
Bushwick,Individuals,2009,Percent,0.30332,304
East New York,Individuals,2009,Percent,0.40049,305
Park Slope,Individuals,2009,Percent,0.0922,306
Sunset Park,Individuals,2009,Percent,0.1588,307
Crown Heights North,Individuals,2009,Percent,0.20138,308
Crown Heights South,Individuals,2009,Percent,0.20406,309
Bay Ridge,Individuals,2009,Percent,0.11661,310
Bensonhurst,Individuals,2009,Percent,0.20196,311
Borough Park,Individuals,2009,Percent,0.34246,312
Coney Island,Individuals,2009,Percent,0.28098,313
Flatbush/Midwood,Individuals,2009,Percent,0.21574,314
Sheepshead Bay,Individuals,2009,Percent,0.17407,315
Brownsville,Individuals,2009,Percent,0.32024,316
East Flatbush,Individuals,2009,Percent,0.21263,317
Canarsie,Individuals,2009,Percent,0.12281,318
Astoria,Individuals,2009,Percent,0.13257,401
Sunnyside/Woodside,Individuals,2009,Percent,0.08987,402
Jackson Heights,Individuals,2009,Percent,0.14408,403
Elmhurst/Corona,Individuals,2009,Percent,0.17706,404
Ridgewood/Glendale,Individuals,2009,Percent,0.10654,405
Rego Park/Forest Hills,Individuals,2009,Percent,0.07759,406
Flushing,Individuals,2009,Percent,0.07622,407
Fresh Meadows/Briarwood,Individuals,2009,Percent,0.09653,408
Woodhaven,Individuals,2009,Percent,0.15295,409
Howard Beach,Individuals,2009,Percent,0.11387,410
Bayside,Individuals,2009,Percent,0.03655,411
Jamaica/St. Albans,Individuals,2009,Percent,0.21344,412
Queens Village,Individuals,2009,Percent,0.1003,413
The Rockaways,Individuals,2009,Percent,0.26148,414
St. George,Individuals,2009,Percent,0.20111,501
South Beach,Individuals,2009,Percent,0.08086,502
Tottenville,Individuals,2009,Percent,0.05363,503
Bronx,Individuals,2009,Percent,0.27846,36005
Brooklyn,Individuals,2009,Percent,0.23742,36047
Manhattan,Individuals,2009,Percent,0.15902,36061
Queens,Individuals,2009,Percent,0.12671,36081
Staten Island,Individuals,2009,Percent,0.11575,36085
New York City,Individuals,2009,Percent,0.19152,3651000
Battery Park/Tribeca,Individuals,2011,Percent,0.0413,101
Greenwich Village,Individuals,2011,Percent,0.05225,102
Lower East Side,Individuals,2011,Percent,0.28754,103
Chelsea/Clinton,Individuals,2011,Percent,0.13835,104
Midtown Business District,Individuals,2011,Percent,0.08507,105
Murray Hill/Stuyvesant,Individuals,2011,Percent,0.03711,106
Upper West Side,Individuals,2011,Percent,0.10268,107
Upper East Side,Individuals,2011,Percent,0.03118,108
Manhattanville,Individuals,2011,Percent,0.22549,109
Central Harlem,Individuals,2011,Percent,0.34321,110
East Harlem,Individuals,2011,Percent,0.40557,111
Washington Heights,Individuals,2011,Percent,0.18713,112
Mott Haven,Individuals,2011,Percent,0.49251,201
Hunts Point,Individuals,2011,Percent,0.43657,202
Morrisania,Individuals,2011,Percent,0.47898,203
Concourse/Highbridge,Individuals,2011,Percent,0.47027,204
University Heights,Individuals,2011,Percent,0.47607,205
East Tremont,Individuals,2011,Percent,0.4447,206
Bedford Park,Individuals,2011,Percent,0.4541,207
Riverdale,Individuals,2011,Percent,0.1788,208
Unionport/Soundview,Individuals,2011,Percent,0.31043,209
Throgs Neck,Individuals,2011,Percent,0.13757,210
Pelham Parkway,Individuals,2011,Percent,0.20736,211
Williamsbridge,Individuals,2011,Percent,0.26847,212
Williamsburg/Greenpoint,Individuals,2011,Percent,0.41357,301
Fort Greene/Brooklyn Hts,Individuals,2011,Percent,0.12328,302
Bedford Stuyvesant,Individuals,2011,Percent,0.43876,303
Bushwick,Individuals,2011,Percent,0.30789,304
East New York,Individuals,2011,Percent,0.4972,305
Park Slope,Individuals,2011,Percent,0.10543,306
Sunset Park,Individuals,2011,Percent,0.2053,307
Crown Heights North,Individuals,2011,Percent,0.21919,308
Crown Heights South,Individuals,2011,Percent,0.23289,309
Bay Ridge,Individuals,2011,Percent,0.1415,310
Bensonhurst,Individuals,2011,Percent,0.22247,311
Borough Park,Individuals,2011,Percent,0.42441,312
Coney Island,Individuals,2011,Percent,0.33693,313
Flatbush/Midwood,Individuals,2011,Percent,0.25536,314
Sheepshead Bay,Individuals,2011,Percent,0.21119,315
Brownsville,Individuals,2011,Percent,0.31627,316
East Flatbush,Individuals,2011,Percent,0.28438,317
Canarsie,Individuals,2011,Percent,0.15107,318
Astoria,Individuals,2011,Percent,0.12956,401
Sunnyside/Woodside,Individuals,2011,Percent,0.08817,402
Jackson Heights,Individuals,2011,Percent,0.14363,403
Elmhurst/Corona,Individuals,2011,Percent,0.18788,404
Ridgewood/Glendale,Individuals,2011,Percent,0.11232,405
Rego Park/Forest Hills,Individuals,2011,Percent,0.07599,406
Flushing,Individuals,2011,Percent,0.08454,407
Fresh Meadows/Briarwood,Individuals,2011,Percent,0.1049,408
Woodhaven,Individuals,2011,Percent,0.14082,409
Howard Beach,Individuals,2011,Percent,0.10637,410
Bayside,Individuals,2011,Percent,0.03903,411
Jamaica/St. Albans,Individuals,2011,Percent,0.20033,412
Queens Village,Individuals,2011,Percent,0.09842,413
The Rockaways,Individuals,2011,Percent,0.26577,414
St. George,Individuals,2011,Percent,0.25364,501
South Beach,Individuals,2011,Percent,0.12766,502
Tottenville,Individuals,2011,Percent,0.06694,503
Bronx,Individuals,2011,Percent,0.35268,36005
Brooklyn,Individuals,2011,Percent,0.27158,36047
Manhattan,Individuals,2011,Percent,0.1853,36061
Queens,Individuals,2011,Percent,0.12706,36081
Staten Island,Individuals,2011,Percent,0.15192,36085
New York City,Individuals,2011,Percent,0.22228,3651000
Mott Haven,Individuals,2016,Number,46509,201
Hunts Point,Individuals,2016,Number,23216,202
Morrisania,Individuals,2016,Number,42291,203
Concourse/Highbridge,Individuals,2016,Number,60867,204
University Heights,Individuals,2016,Number,59589,205
East Tremont,Individuals,2016,Number,40067,206
Bedford Park,Individuals,2016,Number,49157,207
Riverdale,Individuals,2016,Number,16818,208
Unionport/Soundview,Individuals,2016,Number,54952,209
Throgs Neck,Individuals,2016,Number,17443,210
Pelham Parkway,Individuals,2016,Number,24860,211
Williamsbridge,Individuals,2016,Number,37757,212
Williamsburg/Greenpoint,Individuals,2016,Number,54340,301
Fort Greene/Brooklyn Hts,Individuals,2016,Number,14229,302
Bedford Stuyvesant,Individuals,2016,Number,48070,303
Bushwick,Individuals,2016,Number,28671,304
East New York,Individuals,2016,Number,64923,305
Park Slope,Individuals,2016,Number,10291,306
Sunset Park,Individuals,2016,Number,25756,307
Crown Heights North,Individuals,2016,Number,22393,308
Crown Heights South,Individuals,2016,Number,21709,309
Bay Ridge,Individuals,2016,Number,18281,310
Bensonhurst,Individuals,2016,Number,39031,311
Borough Park,Individuals,2016,Number,66182,312
Coney Island,Individuals,2016,Number,33311,313
Flatbush/Midwood,Individuals,2016,Number,34565,314
Sheepshead Bay,Individuals,2016,Number,29148,315
Brownsville,Individuals,2016,Number,37240,316
East Flatbush,Individuals,2016,Number,32242,317
Canarsie,Individuals,2016,Number,28518,318
Battery Park/Tribeca,Individuals,2016,Number,2007,101
Greenwich Village,Individuals,2016,Number,3213,102
Lower East Side,Individuals,2016,Number,38687,103
Chelsea/Clinton,Individuals,2016,Number,11270,104
Midtown Business District,Individuals,2016,Number,3409,105
Murray Hill/Stuyvesant,Individuals,2016,Number,4965,106
Upper West Side,Individuals,2016,Number,16613,107
Upper East Side,Individuals,2016,Number,5555,108
Manhattanville,Individuals,2016,Number,23436,109
Central Harlem,Individuals,2016,Number,35397,110
East Harlem,Individuals,2016,Number,44269,111
Washington Heights,Individuals,2016,Number,50469,112
Astoria,Individuals,2016,Number,22954,401
Sunnyside/Woodside,Individuals,2016,Number,11232,402
Jackson Heights,Individuals,2016,Number,28594,403
Elmhurst/Corona,Individuals,2016,Number,28770,404
Ridgewood/Glendale,Individuals,2016,Number,19908,405
Rego Park/Forest Hills,Individuals,2016,Number,10423,406
Flushing,Individuals,2016,Number,26882,407
Fresh Meadows/Briarwood,Individuals,2016,Number,17975,408
Woodhaven,Individuals,2016,Number,23222,409
Howard Beach,Individuals,2016,Number,16222,410
Bayside,Individuals,2016,Number,6325,411
Jamaica/St. Albans,Individuals,2016,Number,46178,412
Queens Village,Individuals,2016,Number,19517,413
The Rockaways,Individuals,2016,Number,30220,414
St. George,Individuals,2016,Number,39084,501
South Beach,Individuals,2016,Number,13754,502
Tottenville,Individuals,2016,Number,9815,503
Mott Haven,Households,2016,Number,24264,201
Hunts Point,Households,2016,Number,12283,202
Morrisania,Households,2016,Number,22108,203
Concourse/Highbridge,Households,2016,Number,32585,204
University Heights,Households,2016,Number,31490,205
East Tremont,Households,2016,Number,20918,206
Bedford Park,Households,2016,Number,26688,207
Riverdale,Households,2016,Number,9887,208
Unionport/Soundview,Households,2016,Number,29380,209
Throgs Neck,Households,2016,Number,10518,210
Pelham Parkway,Households,2016,Number,14065,211
Williamsbridge,Households,2016,Number,20218,212
Williamsburg/Greenpoint,Households,2016,Number,20780,301
Fort Greene/Brooklyn Hts,Households,2016,Number,9282,302
Bedford Stuyvesant,Households,2016,Number,25285,303
Bushwick,Households,2016,Number,16690,304
East New York,Households,2016,Number,35513,305
Park Slope,Households,2016,Number,6516,306
Sunset Park,Households,2016,Number,14191,307
Crown Heights North,Households,2016,Number,13776,308
Crown Heights South,Households,2016,Number,12651,309
Bay Ridge,Households,2016,Number,10100,310
Bensonhurst,Households,2016,Number,22065,311
Borough Park,Households,2016,Number,21507,312
Coney Island,Households,2016,Number,21295,313
Flatbush/Midwood,Households,2016,Number,19317,314
Sheepshead Bay,Households,2016,Number,17452,315
Brownsville,Households,2016,Number,20199,316
East Flatbush,Households,2016,Number,19416,317
Canarsie,Households,2016,Number,16566,318
Battery Park/Tribeca,Households,2016,Number,1625,101
Greenwich Village,Households,2016,Number,2492,102
Lower East Side,Households,2016,Number,25456,103
Chelsea/Clinton,Households,2016,Number,8537,104
Midtown Business District,Households,2016,Number,2927,105
Murray Hill/Stuyvesant,Households,2016,Number,4274,106
Upper West Side,Households,2016,Number,12376,107
Upper East Side,Households,2016,Number,4382,108
Manhattanville,Households,2016,Number,14956,109
Central Harlem,Households,2016,Number,21904,110
East Harlem,Households,2016,Number,26802,111
Washington Heights,Households,2016,Number,33226,112
Astoria,Households,2016,Number,13505,401
Sunnyside/Woodside,Households,2016,Number,6883,402
Jackson Heights,Households,2016,Number,15990,403
Elmhurst/Corona,Households,2016,Number,16185,404
Ridgewood/Glendale,Households,2016,Number,11172,405
Rego Park/Forest Hills,Households,2016,Number,7033,406
Flushing,Households,2016,Number,17235,407
Fresh Meadows/Briarwood,Households,2016,Number,10571,408
Woodhaven,Households,2016,Number,12843,409
Howard Beach,Households,2016,Number,9520,410
Bayside,Households,2016,Number,4260,411
Jamaica/St. Albans,Households,2016,Number,27065,412
Queens Village,Households,2016,Number,12222,413
The Rockaways,Households,2016,Number,16099,414
St. George,Households,2016,Number,20284,501
South Beach,Households,2016,Number,8155,502
Tottenville,Households,2016,Number,6197,503
Mott Haven,Individuals,2016,Percent,0.43912,201
Hunts Point,Individuals,2016,Percent,0.38464,202
Morrisania,Individuals,2016,Percent,0.49493,203
Concourse/Highbridge,Individuals,2016,Percent,0.40088,204
University Heights,Individuals,2016,Percent,0.44102,205
East Tremont,Individuals,2016,Percent,0.44872,206
Bedford Park,Individuals,2016,Percent,0.3539,207
Riverdale,Individuals,2016,Percent,0.15448,208
Unionport/Soundview,Individuals,2016,Percent,0.28437,209
Throgs Neck,Individuals,2016,Percent,0.15654,210
Pelham Parkway,Individuals,2016,Percent,0.19947,211
Williamsbridge,Individuals,2016,Percent,0.25056,212
Williamsburg/Greenpoint,Individuals,2016,Percent,0.32664,301
Fort Greene/Brooklyn Hts,Individuals,2016,Percent,0.09928,302
Bedford Stuyvesant,Individuals,2016,Percent,0.32428,303
Bushwick,Individuals,2016,Percent,0.20581,304
East New York,Individuals,2016,Percent,0.40383,305
Park Slope,Individuals,2016,Percent,0.09027,306
Sunset Park,Individuals,2016,Percent,0.1724,307
Crown Heights North,Individuals,2016,Percent,0.16613,308
Crown Heights South,Individuals,2016,Percent,0.19667,309
Bay Ridge,Individuals,2016,Percent,0.15388,310
Bensonhurst,Individuals,2016,Percent,0.20605,311
Borough Park,Individuals,2016,Percent,0.43757,312
Coney Island,Individuals,2016,Percent,0.28508,313
