"Name","SNAP (Food Stamps) by Cash Assistance Receipt"
"Description","Recipients of SNAP by Cash Assistance status.&nbsp;SNAP (Supplemental Nutrition Assistance Program) is a federal program that offers nutrition assistance to low-income individuals and families. It is commonly referred to as Food Stamps.&nbsp;"
"Source Notes","New York City Human Resources Administration,&nbsp;<em>District Resource Statement Fiscal and Service Reports</em>&nbsp;(for Fiscal Years: 2002 and 2003; 2005 and 2006;&nbsp;2006 and 2007;&nbsp;2007 and 2008;&nbsp;2009 and 2010; 2011 and 2012;&nbsp;2016 and 2017; 2017 and 2018) retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/hra/about/facts.page"" target=""_blank"">https://www1.nyc.gov/site/hra/about/facts.page</a>&nbsp;<br />
<br />
New York City Human Resources Administration,&nbsp;Borough/Community District Report - CA Population (2018-2019). Retrieved from NYC Open Data:&nbsp;<a href=""https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-CA-Population/kjcq-h8d9"" target=""_blank"">https://data.cityofnewyork.us/Social-Services/Borough-Community-District-Report-CA-Population/kjcq-h8d9</a>"
"Notes","Figures represent data as of October for the given year, with the exception of 2018 and 2019 which represent data as of September.<br />
&nbsp;Percentages presented by Cash Assistance Receipt refer to the number of individuals receiving SNAP.&nbsp;<br />
*CCC is in the process of filling in data for missing years.&nbsp;<br />"

Location,Cash Assistance Receipt,TimeFrame,DataFormat,Data,Fips
Bensonhurst,Receives Cash Assistance,2005,Number,3340,311
Borough Park,Receives Cash Assistance,2005,Number,5277,312
Coney Island,Receives Cash Assistance,2005,Number,5831,313
Flatbush/Midwood,Receives Cash Assistance,2005,Number,8879,314
Sheepshead Bay,Receives Cash Assistance,2005,Number,3426,315
Brownsville,Receives Cash Assistance,2005,Number,14929,316
East Flatbush,Receives Cash Assistance,2005,Number,8653,317
Canarsie,Receives Cash Assistance,2005,Number,5584,318
Astoria,Receives Cash Assistance,2005,Number,5479,401
Sunnyside/Woodside,Receives Cash Assistance,2005,Number,1744,402
Jackson Heights,Receives Cash Assistance,2005,Number,3972,403
Elmhurst/Corona,Receives Cash Assistance,2005,Number,3575,404
Ridgewood/Glendale,Receives Cash Assistance,2005,Number,3443,405
Rego Park/Forest Hills,Receives Cash Assistance,2005,Number,1401,406
Flushing,Receives Cash Assistance,2005,Number,2475,407
Fresh Meadows/Briarwood,Receives Cash Assistance,2005,Number,3148,408
Woodhaven,Receives Cash Assistance,2005,Number,3725,409
Howard Beach,Receives Cash Assistance,2005,Number,2334,410
Bayside,Receives Cash Assistance,2005,Number,424,411
Jamaica/St. Albans,Receives Cash Assistance,2005,Number,10398,412
Queens Village,Receives Cash Assistance,2005,Number,3881,413
The Rockaways,Receives Cash Assistance,2005,Number,7219,414
St. George,Receives Cash Assistance,2005,Number,9829,501
South Beach,Receives Cash Assistance,2005,Number,1735,502
Tottenville,Receives Cash Assistance,2005,Number,791,503
Bronx,Receives Cash Assistance,2005,Number,161020,36005
Brooklyn,Receives Cash Assistance,2005,Number,150303,36047
Manhattan,Receives Cash Assistance,2005,Number,71475,36061
Queens,Receives Cash Assistance,2005,Number,53218,36081
Staten Island,Receives Cash Assistance,2005,Number,12355,36085
New York City,Receives Cash Assistance,2005,Number,448387,3651000
Battery Park/Tribeca,Receives Cash Assistance,2006,Number,598,101
Greenwich Village,Receives Cash Assistance,2006,Number,422,102
Lower East Side,Receives Cash Assistance,2006,Number,6396,103
Chelsea/Clinton,Receives Cash Assistance,2006,Number,3329,104
Midtown Business District,Receives Cash Assistance,2006,Number,1359,105
Murray Hill/Stuyvesant,Receives Cash Assistance,2006,Number,690,106
Upper West Side,Receives Cash Assistance,2006,Number,4475,107
Upper East Side,Receives Cash Assistance,2006,Number,797,108
Manhattanville,Receives Cash Assistance,2006,Number,8416,109
Central Harlem,Receives Cash Assistance,2006,Number,10586,110
East Harlem,Receives Cash Assistance,2006,Number,13509,111
Washington Heights,Receives Cash Assistance,2006,Number,12563,112
Mott Haven,Receives Cash Assistance,2006,Number,15263,201
Hunts Point,Receives Cash Assistance,2006,Number,7659,202
Morrisania,Receives Cash Assistance,2006,Number,12610,203
Concourse/Highbridge,Receives Cash Assistance,2006,Number,21644,204
University Heights,Receives Cash Assistance,2006,Number,21929,205
East Tremont,Receives Cash Assistance,2006,Number,15087,206
Bedford Park,Receives Cash Assistance,2006,Number,16318,207
Riverdale,Receives Cash Assistance,2006,Number,3715,208
Unionport/Soundview,Receives Cash Assistance,2006,Number,16461,209
Throgs Neck,Receives Cash Assistance,2006,Number,2924,210
Pelham Parkway,Receives Cash Assistance,2006,Number,5630,211
Williamsbridge,Receives Cash Assistance,2006,Number,11602,212
Williamsburg/Greenpoint,Receives Cash Assistance,2006,Number,7245,301
Fort Greene/Brooklyn Hts,Receives Cash Assistance,2006,Number,4304,302
Bedford Stuyvesant,Receives Cash Assistance,2006,Number,18301,303
Bushwick,Receives Cash Assistance,2006,Number,12904,304
East New York,Receives Cash Assistance,2006,Number,19223,305
Park Slope,Receives Cash Assistance,2006,Number,3076,306
Sunset Park,Receives Cash Assistance,2006,Number,4415,307
Crown Heights North,Receives Cash Assistance,2006,Number,9348,308
Crown Heights South,Receives Cash Assistance,2006,Number,5323,309
Bay Ridge,Receives Cash Assistance,2006,Number,1792,310
Bensonhurst,Receives Cash Assistance,2006,Number,3029,311
Borough Park,Receives Cash Assistance,2006,Number,4544,312
Coney Island,Receives Cash Assistance,2006,Number,5164,313
Flatbush/Midwood,Receives Cash Assistance,2006,Number,7955,314
Sheepshead Bay,Receives Cash Assistance,2006,Number,3102,315
Brownsville,Receives Cash Assistance,2006,Number,13643,316
East Flatbush,Receives Cash Assistance,2006,Number,8022,317
Canarsie,Receives Cash Assistance,2006,Number,5239,318
Astoria,Receives Cash Assistance,2006,Number,4753,401
Sunnyside/Woodside,Receives Cash Assistance,2006,Number,1545,402
Jackson Heights,Receives Cash Assistance,2006,Number,3635,403
Elmhurst/Corona,Receives Cash Assistance,2006,Number,3274,404
Ridgewood/Glendale,Receives Cash Assistance,2006,Number,3209,405
Rego Park/Forest Hills,Receives Cash Assistance,2006,Number,1128,406
Flushing,Receives Cash Assistance,2006,Number,2323,407
Fresh Meadows/Briarwood,Receives Cash Assistance,2006,Number,2991,408
Woodhaven,Receives Cash Assistance,2006,Number,3649,409
Howard Beach,Receives Cash Assistance,2006,Number,2213,410
Bayside,Receives Cash Assistance,2006,Number,403,411
Jamaica/St. Albans,Receives Cash Assistance,2006,Number,9533,412
Queens Village,Receives Cash Assistance,2006,Number,3791,413
The Rockaways,Receives Cash Assistance,2006,Number,7152,414
St. George,Receives Cash Assistance,2006,Number,9598,501
