"Name","Children Under 6 Years with Elevated Blood Lead Levels (BLL)"
"Description","<g class=""gr_ gr_4 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""4"" data-gr-id=""4""><g class=""gr_ gr_4 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""4"" data-gr-id=""4"">Number</g></g>&nbsp;of children less than 6 years old tested in a given year with blood lead levels of 5 mcg/dL or 10 mcg/dL or greater.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene NYC Tracking Program: Environment and Health Data Portal. [Childhood Lead Exposure; 2005-2018]; retrieved from&nbsp;<a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/"" target=""_blank"">&nbsp;http://a816-dohbesp.nyc.gov/IndicatorPublic/</a>"
"Notes","Rates are calculated by using the number of children less than 6 years old tested in a given year with blood lead levels of 5 mcg/dL or 10 mcg/dL or greater, divided by the number of children less than 6 years old who were tested for lead poisoning in a given year; expressed as cases per 1,000 tested.<br />
Children can receive more than one test during the calendar year, but are only counted once using the highest confirmed blood lead level during the calendar year.&nbsp;"

Location,Blood Lead Level,TimeFrame,DataFormat,Data,Fips
East New York,10 mcg/dL or greater,2018,Number,23,uhf204
Sunset Park,10 mcg/dL or greater,2018,Number,13,uhf205
Borough Park,10 mcg/dL or greater,2018,Number,69,uhf206
East Flatbush - Flatbush,10 mcg/dL or greater,2018,Number,43,uhf207
Canarsie - Flatlands,10 mcg/dL or greater,2018,Number,8,uhf208
Bensonhurst - Bay Ridge,10 mcg/dL or greater,2018,Number,29,uhf209
Coney Island - Sheepshead Bay,10 mcg/dL or greater,2018,Number,44,uhf210
Williamsburg - Bushwick,10 mcg/dL or greater,2018,Number,19,uhf211
Washington Heights - Inwood,10 mcg/dL or greater,2018,Number,12,uhf301
Central Harlem - Morningside Heights,10 mcg/dL or greater,2018,Number,7,uhf302
East Harlem,10 mcg/dL or greater,2018,Number,4,uhf303
Upper West Side,10 mcg/dL or greater,2018,Number,5,uhf304
Upper East Side,10 mcg/dL or greater,2018,Number,1,uhf305
Chelsea - Clinton,10 mcg/dL or greater,2018,Number,4,uhf306
Gramercy Park -  Murray Hill,10 mcg/dL or greater,2018,Number,2,uhf307
Greenwich Village - Soho,10 mcg/dL or greater,2018,Number,2,uhf308
Union Square - Lower East Side,10 mcg/dL or greater,2018,Number,4,uhf309
Lower Manhattan,10 mcg/dL or greater,2018,Number,1,uhf310
Long Island City - Astoria,10 mcg/dL or greater,2018,Number,15,uhf401
West Queens,10 mcg/dL or greater,2018,Number,52,uhf402
Flushing - Clearview,10 mcg/dL or greater,2018,Number,8,uhf403
Bayside - Little Neck,10 mcg/dL or greater,2018,Number,1,uhf404
Ridgewood - Forest Hills,10 mcg/dL or greater,2018,Number,11,uhf405
Fresh Meadows,10 mcg/dL or greater,2018,Number,9,uhf406
Southwest Queens,10 mcg/dL or greater,2018,Number,27,uhf407
Jamaica,10 mcg/dL or greater,2018,Number,51,uhf408
Southeast Queens,10 mcg/dL or greater,2018,Number,16,uhf409
Rockaway,10 mcg/dL or greater,2018,Number,5,uhf410
Port  Richmond,10 mcg/dL or greater,2018,Number,10,uhf501
Stapleton - St. George,10 mcg/dL or greater,2018,Number,14,uhf502
Willowbrook,10 mcg/dL or greater,2018,Number,7,uhf503
South Beach - Tottenville,10 mcg/dL or greater,2018,Number,3,uhf504
New York City,10 mcg/dL or greater,2018,Rate,2.5,3651000
Bronx,10 mcg/dL or greater,2018,Rate,2.3,36005
Brooklyn,10 mcg/dL or greater,2018,Rate,3.3,36047
Manhattan,10 mcg/dL or greater,2018,Rate,1.3,36061
Queens,10 mcg/dL or greater,2018,Rate,2.3,36081
Staten Island,10 mcg/dL or greater,2018,Rate,2.7,36085
Kingsbridge - Riverdale,10 mcg/dL or greater,2018,Rate,2.3,uhf101
Northeast Bronx,10 mcg/dL or greater,2018,Rate,2.5,uhf102
Fordham - Bronx Park,10 mcg/dL or greater,2018,Rate,3.3,uhf103
Pelham - Throgs Neck,10 mcg/dL or greater,2018,Rate,1.7,uhf104
Crotona - Tremont,10 mcg/dL or greater,2018,Rate,2.4,uhf105
High Bridge - Morrisania,10 mcg/dL or greater,2018,Rate,2.1,uhf106
Hunts Point - Mott Haven,10 mcg/dL or greater,2018,Rate,1.1,uhf107
Greenpoint,10 mcg/dL or greater,2018,Rate,5.7,uhf201
Downtown  - Heights - Slope,10 mcg/dL or greater,2018,Rate,1.7,uhf202
Bedford Stuyvesant - Crown Heights,10 mcg/dL or greater,2018,Rate,3.2,uhf203
East New York,10 mcg/dL or greater,2018,Rate,2.5,uhf204
Sunset Park,10 mcg/dL or greater,2018,Rate,1.7,uhf205
Borough Park,10 mcg/dL or greater,2018,Rate,4.3,uhf206
East Flatbush - Flatbush,10 mcg/dL or greater,2018,Rate,4.4,uhf207
Canarsie - Flatlands,10 mcg/dL or greater,2018,Rate,1.2,uhf208
Bensonhurst - Bay Ridge,10 mcg/dL or greater,2018,Rate,3.8,uhf209
Coney Island - Sheepshead Bay,10 mcg/dL or greater,2018,Rate,3.9,uhf210
Williamsburg - Bushwick,10 mcg/dL or greater,2018,Rate,2.5,uhf211
Washington Heights - Inwood,10 mcg/dL or greater,2018,Rate,1.6,uhf301
Central Harlem - Morningside Heights,10 mcg/dL or greater,2018,Rate,1.4,uhf302
East Harlem,10 mcg/dL or greater,2018,Rate,1.3,uhf303
Upper West Side,10 mcg/dL or greater,2018,Rate,1.3,uhf304
Upper East Side,10 mcg/dL or greater,2018,Rate,0.3,uhf305
Chelsea - Clinton,10 mcg/dL or greater,2018,Rate,2.6,uhf306
Gramercy Park -  Murray Hill,10 mcg/dL or greater,2018,Rate,1.1,uhf307
Greenwich Village - Soho,10 mcg/dL or greater,2018,Rate,1.5,uhf308
Union Square - Lower East Side,10 mcg/dL or greater,2018,Rate,1.3,uhf309
Lower Manhattan,10 mcg/dL or greater,2018,Rate,0.7,uhf310
Long Island City - Astoria,10 mcg/dL or greater,2018,Rate,2.3,uhf401
West Queens,10 mcg/dL or greater,2018,Rate,2.6,uhf402
Flushing - Clearview,10 mcg/dL or greater,2018,Rate,0.9,uhf403
Bayside - Little Neck,10 mcg/dL or greater,2018,Rate,0.5,uhf404
Ridgewood - Forest Hills,10 mcg/dL or greater,2018,Rate,1.2,uhf405
Fresh Meadows,10 mcg/dL or greater,2018,Rate,2.3,uhf406
Southwest Queens,10 mcg/dL or greater,2018,Rate,2.6,uhf407
Jamaica,10 mcg/dL or greater,2018,Rate,4,uhf408
Southeast Queens,10 mcg/dL or greater,2018,Rate,3,uhf409
Rockaway,10 mcg/dL or greater,2018,Rate,1.1,uhf410
Port  Richmond,10 mcg/dL or greater,2018,Rate,3.7,uhf501
Stapleton - St. George,10 mcg/dL or greater,2018,Rate,3.4,uhf502
Willowbrook,10 mcg/dL or greater,2018,Rate,3.1,uhf503
South Beach - Tottenville,10 mcg/dL or greater,2018,Rate,0.8,uhf504
New York City,10 mcg/dL or greater,2005,Number,3082,3651000
New York City,5 mcg/dL or greater,2005,Number,37344,3651000
New York City,10 mcg/dL or greater,2006,Number,2767,3651000
New York City,5 mcg/dL or greater,2006,Number,34629,3651000
New York City,10 mcg/dL or greater,2007,Number,2282,3651000
New York City,5 mcg/dL or greater,2007,Number,30493,3651000
New York City,10 mcg/dL or greater,2008,Number,1803,3651000
New York City,5 mcg/dL or greater,2008,Number,20423,3651000
New York City,10 mcg/dL or greater,2009,Number,1565,3651000
New York City,5 mcg/dL or greater,2009,Number,15224,3651000
New York City,10 mcg/dL or greater,2010,Number,1574,3651000
New York City,5 mcg/dL or greater,2010,Number,13951,3651000
New York City,10 mcg/dL or greater,2011,Number,1332,3651000
New York City,5 mcg/dL or greater,2011,Number,11437,3651000
New York City,10 mcg/dL or greater,2012,Number,1053,3651000
New York City,5 mcg/dL or greater,2012,Number,8179,3651000
New York City,10 mcg/dL or greater,2013,Number,910,3651000
New York City,5 mcg/dL or greater,2013,Number,7204,3651000
New York City,10 mcg/dL or greater,2014,Number,959,3651000
