"Name","Total Population by Race/Ethnicity"
"Description","Total population by racial/ethnic group."
"Source Notes","<span style=""color: #333333;"">U.S. Census Bureau, American Community Survey 5-Year Estimates, Table B03002 (2009-2018); retrieved <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>.</span>
<div><span style=""color: #333333;""><br />
</span></div>"
"Notes","Percents refer to the percent of the total population. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Other = other non-Latino of any race, Latino = Latino of any race.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
Unionport/Soundview,Asian,2010,Percent,0.06327,209
Mott Haven,Asian,2010,Percent,0.00726,201
Hunts Point,Asian,2010,Percent,0.00726,202
Washington Heights,Asian,2010,Percent,0.02169,112
Manhattanville,Asian,2010,Percent,0.06389,109
Central Harlem,Asian,2010,Percent,0.02905,110
East Harlem,Asian,2010,Percent,0.05528,111
Upper East Side,Asian,2010,Percent,0.08654,108
Upper West Side,Asian,2010,Percent,0.07762,107
Chelsea/Clinton,Asian,2010,Percent,0.13386,104
Midtown Business District,Asian,2010,Percent,0.13386,105
Murray Hill/Stuyvesant,Asian,2010,Percent,0.13198,106
Lower East Side,Asian,2010,Percent,0.35114,103
Battery Park/Tribeca,Asian,2010,Percent,0.16158,101
Greenwich Village,Asian,2010,Percent,0.16158,102
Tottenville,Asian,2010,Percent,0.0403,503
South Beach,Asian,2010,Percent,0.11242,502
St. George,Asian,2010,Percent,0.07871,501
Williamsburg/Greenpoint,Asian,2010,Percent,0.06062,301
Bushwick,Asian,2010,Percent,0.03308,304
Bedford Stuyvesant,Asian,2010,Percent,0.02719,303
Fort Greene/Brooklyn Hts,Asian,2010,Percent,0.07201,302
Park Slope,Asian,2010,Percent,0.06273,306
Crown Heights North,Asian,2010,Percent,0.02744,308
Brownsville,Asian,2010,Percent,0.00478,316
East New York,Asian,2010,Percent,0.04605,305
Canarsie,Asian,2010,Percent,0.02903,318
East Flatbush,Asian,2010,Percent,0.01452,317
Crown Heights South,Asian,2010,Percent,0.01429,309
Sunset Park,Asian,2010,Percent,0.28838,307
Bay Ridge,Asian,2010,Percent,0.20888,310
Borough Park,Asian,2010,Percent,0.13772,312
Flatbush/Midwood,Asian,2010,Percent,0.08136,314
Sheepshead Bay,Asian,2010,Percent,0.15855,315
Bensonhurst,Asian,2010,Percent,0.35223,311
Coney Island,Asian,2010,Percent,0.12675,313
Astoria,Asian,2010,Percent,0.14501,401
Jackson Heights,Asian,2010,Percent,0.17622,403
Flushing,Asian,2010,Percent,0.46436,407
Bayside,Asian,2010,Percent,0.37162,411
Queens Village,Asian,2010,Percent,0.14713,413
Fresh Meadows/Briarwood,Asian,2010,Percent,0.31671,408
Elmhurst/Corona,Asian,2010,Percent,0.33868,404
Rego Park/Forest Hills,Asian,2010,Percent,0.26881,406
Sunnyside/Woodside,Asian,2010,Percent,0.3539,402
